"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2025/04/07 01:30:00","O H","61846","42.86","-2.45","0","1"
"2025/04/07 01:30:00","PJM","61847","44.81","-0.5","0","1"
"2025/04/07 01:30:00","WEST","61752","43.85","-1.45","0","1"
"2025/04/07 01:35:00","CAPITL","61757","43.39","0.56","0","1"
"2025/04/07 01:35:00","CENTRL","61754","42.7","-0.13","0","1"
"2025/04/07 01:35:00","DUNWOD","61760","43.77","0.94","0","1"
"2025/04/07 01:35:00","GENESE","61753","41.63","-1.2","0","1"
"2025/04/07 01:35:00","H Q","61844","43.52","0.68","0","1"
"2025/04/07 01:35:00","HUD VL","61758","43.48","0.64","0","1"
"2025/04/07 01:35:00","LONGIL","61762","46.29","1.07","-2.39","1"
"2025/04/07 01:35:00","MHK VL","61756","43.77","0.94","0","1"
"2025/04/07 01:35:00","MILLWD","61759","43.52","0.68","0","1"
"2025/04/07 01:35:00","N.Y.C.","61761","45.69","0.99","-1.87","1"
"2025/04/07 01:35:00","NORTH","61755","44.33","1.5","0","1"
"2025/04/07 01:35:00","NPX","61845","42.87","0.04","0","1"
"2025/04/07 01:35:00","O H","61846","40.56","-2.27","0","1"
"2025/04/07 01:35:00","PJM","61847","42.4","-0.43","0","1"
"2025/04/07 01:35:00","WEST","61752","41.46","-1.37","0","1"
"2025/04/07 01:40:00","CAPITL","61757","43.39","0.56","0","1"
"2025/04/07 01:40:00","CENTRL","61754","42.75","-0.09","0","1"
"2025/04/07 01:40:00","DUNWOD","61760","43.77","0.94","0","1"
"2025/04/07 01:40:00","GENESE","61753","41.59","-1.24","0","1"
"2025/04/07 01:40:00","H Q","61844","43.52","0.68","0","1"
"2025/04/07 01:40:00","HUD VL","61758","43.43","0.6","0","1"
"2025/04/07 01:40:00","LONGIL","61762","46.29","1.07","-2.39","1"
"2025/04/07 01:40:00","MHK VL","61756","43.82","0.99","0","1"
"2025/04/07 01:40:00","MILLWD","61759","43.52","0.68","0","1"
"2025/04/07 01:40:00","N.Y.C.","61761","45.69","0.99","-1.87","1"
"2025/04/07 01:40:00","NORTH","61755","44.33","1.5","0","1"
"2025/04/07 01:40:00","NPX","61845","42.87","0.04","0","1"
"2025/04/07 01:40:00","O H","61846","40.43","-2.4","0","1"
"2025/04/07 01:40:00","PJM","61847","42.45","-0.39","0","1"
"2025/04/07 01:40:00","WEST","61752","41.42","-1.41","0","1"
"2025/04/07 01:45:00","CAPITL","61757","43.39","0.6","0","1"
"2025/04/07 01:45:00","CENTRL","61754","42.62","-0.17","0","1"
"2025/04/07 01:45:00","DUNWOD","61760","43.77","0.98","0","1"
"2025/04/07 01:45:00","GENESE","61753","41.46","-1.33","0","1"
"2025/04/07 01:45:00","H Q","61844","43.47","0.68","0","1"
"2025/04/07 01:45:00","HUD VL","61758","43.43","0.64","0","1"
"2025/04/07 01:45:00","LONGIL","61762","46.25","1.07","-2.39","1"
"2025/04/07 01:45:00","MHK VL","61756","43.77","0.98","0","1"
"2025/04/07 01:45:00","MILLWD","61759","43.52","0.73","0","1"
"2025/04/07 01:45:00","N.Y.C.","61761","45.69","1.03","-1.87","1"
"2025/04/07 01:45:00","NORTH","61755","44.25","1.46","0","1"
"2025/04/07 01:45:00","NPX","61845","42.88","0.09","0","1"
"2025/04/07 01:45:00","O H","61846","40.27","-2.52","0","1"
"2025/04/07 01:45:00","PJM","61847","42.36","-0.43","0","1"
"2025/04/07 01:45:00","WEST","61752","41.25","-1.54","0","1"
"2025/04/07 01:50:00","CAPITL","61757","43.35","0.6","0","1"
"2025/04/07 01:50:00","CENTRL","61754","42.62","-0.13","0","1"
"2025/04/07 01:50:00","DUNWOD","61760","43.65","0.9","0","1"
"2025/04/07 01:50:00","GENESE","61753","41.55","-1.2","0","1"
"2025/04/07 01:50:00","H Q","61844","43.39","0.64","0","1"
"2025/04/07 01:50:00","HUD VL","61758","43.35","0.6","0","1"
"2025/04/07 01:50:00","LONGIL","61762","46.13","1.02","-2.36","1"
"2025/04/07 01:50:00","MHK VL","61756","43.73","0.98","0","1"
"2025/04/07 01:50:00","MILLWD","61759","43.43","0.68","0","1"
"2025/04/07 01:50:00","N.Y.C.","61761","45.43","0.98","-1.7","1"
"2025/04/07 01:50:00","NORTH","61755","44.16","1.41","0","1"
"2025/04/07 01:50:00","NPX","61845","42.83","0.09","0","1"
"2025/04/07 01:50:00","O H","61846","40.4","-2.35","0","1"
"2025/04/07 01:50:00","PJM","61847","42.32","-0.43","0","1"
