"RTD End Time Stamp","Interface Name","Interface PTID","RTD Flow MW","Positive Limit","Negative Limit"
"2025/04/07 01:15:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:15:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:15:00","IMO-NYISO","23317","1584.63","2200","-1850"
"2025/04/07 01:15:00","ISONE-NYISO","23318","-254.94","1100","-1800"
"2025/04/07 01:15:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:15:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:15:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:15:00","PJM-NYISO","23316","951.79","2400","-2400"
"2025/04/07 01:20:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:20:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:20:00","IMO-NYISO","23317","1584.63","2200","-1850"
"2025/04/07 01:20:00","ISONE-NYISO","23318","-287.93","1100","-1800"
"2025/04/07 01:20:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:20:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:20:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:20:00","PJM-NYISO","23316","934.42","2400","-2400"
"2025/04/07 01:25:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:25:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:25:00","IMO-NYISO","23317","1584.63","2200","-1850"
"2025/04/07 01:25:00","ISONE-NYISO","23318","-287.95","1100","-1800"
"2025/04/07 01:25:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:25:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:25:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:25:00","PJM-NYISO","23316","935.93","2400","-2400"
"2025/04/07 01:30:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:30:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:30:00","IMO-NYISO","23317","1584.63","2200","-1850"
"2025/04/07 01:30:00","ISONE-NYISO","23318","-221.94","1100","-1800"
"2025/04/07 01:30:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:30:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:30:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:30:00","PJM-NYISO","23316","952.46","2400","-2400"
"2025/04/07 01:35:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:35:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:35:00","IMO-NYISO","23317","1584.64","2200","-1850"
