"Time Stamp","Time Zone","Name","PTID","Load"
"01/03/2026 01:05:00","EST","MILLWD",61759,371.044
"01/03/2026 01:05:00","EST","N.Y.C.",61761,5506.578
"01/03/2026 01:05:00","EST","NORTH",61755,755.5043
"01/03/2026 01:05:00","EST","WEST",61752,1699.2072
"01/03/2026 01:10:00","EST","CAPITL",61757,1466.0598
"01/03/2026 01:10:00","EST","CENTRL",61754,1853.9722
"01/03/2026 01:10:00","EST","DUNWOD",61760,651.1073
"01/03/2026 01:10:00","EST","GENESE",61753,1095.2238
"01/03/2026 01:10:00","EST","HUD VL",61758,1247.4143
"01/03/2026 01:10:00","EST","LONGIL",61762,2303.52
"01/03/2026 01:10:00","EST","MHK VL",61756,979.574
"01/03/2026 01:10:00","EST","MILLWD",61759,371.8624
"01/03/2026 01:10:00","EST","N.Y.C.",61761,5512.017
"01/03/2026 01:10:00","EST","NORTH",61755,748.136
"01/03/2026 01:10:00","EST","WEST",61752,1691.9758
"01/03/2026 01:15:00","EST","CAPITL",61757,1479.7284
"01/03/2026 01:15:00","EST","CENTRL",61754,1862.0745
"01/03/2026 01:15:00","EST","DUNWOD",61760,653.7775
"01/03/2026 01:15:00","EST","GENESE",61753,1100.1129
"01/03/2026 01:15:00","EST","HUD VL",61758,1227.4246
"01/03/2026 01:15:00","EST","LONGIL",61762,2302.6143
"01/03/2026 01:15:00","EST","MHK VL",61756,980.4179
"01/03/2026 01:15:00","EST","MILLWD",61759,366.8143
"01/03/2026 01:15:00","EST","N.Y.C.",61761,5487.6396
"01/03/2026 01:15:00","EST","NORTH",61755,752.6986
"01/03/2026 01:15:00","EST","WEST",61752,1667.4761
"01/03/2026 01:20:00","EST","CAPITL",61757,1462.9578
"01/03/2026 01:20:00","EST","CENTRL",61754,1851.2783
"01/03/2026 01:20:00","EST","DUNWOD",61760,653.4593
"01/03/2026 01:20:00","EST","GENESE",61753,1090.8691
"01/03/2026 01:20:00","EST","HUD VL",61758,1222.5024
"01/03/2026 01:20:00","EST","LONGIL",61762,2276.8726
"01/03/2026 01:20:00","EST","MHK VL",61756,974.641
"01/03/2026 01:20:00","EST","MILLWD",61759,367.6113
"01/03/2026 01:20:00","EST","N.Y.C.",61761,5466.9004
"01/03/2026 01:20:00","EST","NORTH",61755,757.2651
"01/03/2026 01:20:00","EST","WEST",61752,1704.0854
"01/03/2026 01:25:00","EST","CAPITL",61757,1466.7477
"01/03/2026 01:25:00","EST","CENTRL",61754,1849.4121
"01/03/2026 01:25:00","EST","DUNWOD",61760,651.3345
"01/03/2026 01:25:00","EST","GENESE",61753,1089.4911
"01/03/2026 01:25:00","EST","HUD VL",61758,1232.3318
"01/03/2026 01:25:00","EST","LONGIL",61762,2279.8838
"01/03/2026 01:25:00","EST","MHK VL",61756,963.8666
"01/03/2026 01:25:00","EST","MILLWD",61759,369.0248
"01/03/2026 01:25:00","EST","N.Y.C.",61761,5468.054
"01/03/2026 01:25:00","EST","NORTH",61755,761.3895
"01/03/2026 01:25:00","EST","WEST",61752,1671.8643
"01/03/2026 01:30:00","EST","CAPITL",61757,1455.0662
"01/03/2026 01:30:00","EST","CENTRL",61754,1820.2319
"01/03/2026 01:30:00","EST","DUNWOD",61760,650.8468
"01/03/2026 01:30:00","EST","GENESE",61753,1080.3318
"01/03/2026 01:30:00","EST","HUD VL",61758,1230.019
"01/03/2026 01:30:00","EST","LONGIL",61762,2268.632
"01/03/2026 01:30:00","EST","MHK VL",61756,965.1694
"01/03/2026 01:30:00","EST","MILLWD",61759,371.3714
"01/03/2026 01:30:00","EST","N.Y.C.",61761,5460.287
"01/03/2026 01:30:00","EST","NORTH",61755,758.3178
"01/03/2026 01:30:00","EST","WEST",61752,1677.0265
"01/03/2026 01:35:00","EST","CAPITL",61757,1451.5524
"01/03/2026 01:35:00","EST","CENTRL",61754,1799.7759
"01/03/2026 01:35:00","EST","DUNWOD",61760,648.3888
"01/03/2026 01:35:00","EST","GENESE",61753,1078.3784
"01/03/2026 01:35:00","EST","HUD VL",61758,1231.5884
"01/03/2026 01:35:00","EST","LONGIL",61762,2279.9895
"01/03/2026 01:35:00","EST","MHK VL",61756,964.6259
"01/03/2026 01:35:00","EST","MILLWD",61759,353.9765
"01/03/2026 01:35:00","EST","N.Y.C.",61761,5424.7666
"01/03/2026 01:35:00","EST","NORTH",61755,757.5524
"01/03/2026 01:35:00","EST","WEST",61752,1662.105
"01/03/2026 01:40:00","EST","CAPITL",61757,1452.2239
"01/03/2026 01:40:00","EST","CENTRL",61754,1832.2319
"01/03/2026 01:40:00","EST","DUNWOD",61760,642.0597
"01/03/2026 01:40:00","EST","GENESE",61753,1085.328
"01/03/2026 01:40:00","EST","HUD VL",61758,1222.8447
"01/03/2026 01:40:00","EST","LONGIL",61762,2244.8188
"01/03/2026 01:40:00","EST","MHK VL",61756,976.186
"01/03/2026 01:40:00","EST","MILLWD",61759,357.6357
"01/03/2026 01:40:00","EST","N.Y.C.",61761,5400.9956
"01/03/2026 01:40:00","EST","NORTH",61755,746.3484
"01/03/2026 01:40:00","EST","WEST",61752,1650.7098
"01/03/2026 01:45:00","EST","CAPITL",61757,1459.3809
"01/03/2026 01:45:00","EST","CENTRL",61754,1820.4387
"01/03/2026 01:45:00","EST","DUNWOD",61760,639.9348
"01/03/2026 01:45:00","EST","GENESE",61753,1083.3982
"01/03/2026 01:45:00","EST","HUD VL",61758,1214.1008
"01/03/2026 01:45:00","EST","LONGIL",61762,2239.8677
"01/03/2026 01:45:00","EST","MHK VL",61756,973.8517
"01/03/2026 01:45:00","EST","MILLWD",61759,362.3315
"01/03/2026 01:45:00","EST","N.Y.C.",61761,5412.077
"01/03/2026 01:45:00","EST","NORTH",61755,751.1173
"01/03/2026 01:45:00","EST","WEST",61752,1677.5186
"01/03/2026 01:50:00","EST","CAPITL",61757,1447.8655
"01/03/2026 01:50:00","EST","CENTRL",61754,1845.0618
"01/03/2026 01:50:00","EST","DUNWOD",61760,640.4169
"01/03/2026 01:50:00","EST","GENESE",61753,1073.253
"01/03/2026 01:50:00","EST","HUD VL",61758,1232.5328
"01/03/2026 01:50:00","EST","LONGIL",61762,2233.3408
"01/03/2026 01:50:00","EST","MHK VL",61756,959.9755
"01/03/2026 01:50:00","EST","MILLWD",61759,358.6595
"01/03/2026 01:50:00","EST","N.Y.C.",61761,5388.8286
"01/03/2026 01:50:00","EST","NORTH",61755,755.3315
"01/03/2026 01:50:00","EST","WEST",61752,1688.3625
"01/03/2026 01:55:00","EST","CAPITL",61757,1452.0525
"01/03/2026 01:55:00","EST","CENTRL",61754,1797.9985
"01/03/2026 01:55:00","EST","DUNWOD",61760,637.6762
"01/03/2026 01:55:00","EST","GENESE",61753,1066.0721
"01/03/2026 01:55:00","EST","HUD VL",61758,1205.4386
"01/03/2026 01:55:00","EST","LONGIL",61762,2245.2288
"01/03/2026 01:55:00","EST","MHK VL",61756,970.6747
"01/03/2026 01:55:00","EST","MILLWD",61759,359.39
"01/03/2026 01:55:00","EST","N.Y.C.",61761,5380.281
"01/03/2026 01:55:00","EST","NORTH",61755,750.2334
"01/03/2026 01:55:00","EST","WEST",61752,1670.3055
"01/03/2026 02:00:00","EST","CAPITL",61757,1477.303
"01/03/2026 02:00:00","EST","CENTRL",61754,1808.6538
"01/03/2026 02:00:00","EST","DUNWOD",61760,638.8784
"01/03/2026 02:00:00","EST","GENESE",61753,1081.8416
"01/03/2026 02:00:00","EST","HUD VL",61758,1224.199
"01/03/2026 02:00:00","EST","LONGIL",61762,2227.5435
"01/03/2026 02:00:00","EST","MHK VL",61756,975.1032
"01/03/2026 02:00:00","EST","MILLWD",61759,355.7266
"01/03/2026 02:00:00","EST","N.Y.C.",61761,5356.53
"01/03/2026 02:00:00","EST","NORTH",61755,749.4371
"01/03/2026 02:00:00","EST","WEST",61752,1643.5038
"01/03/2026 02:05:00","EST","CAPITL",61757,1435.6255
"01/03/2026 02:05:00","EST","CENTRL",61754,1815.6096
"01/03/2026 02:05:00","EST","DUNWOD",61760,641.1569
"01/03/2026 02:05:00","EST","GENESE",61753,1086.4099
"01/03/2026 02:05:00","EST","HUD VL",61758,1232.6661
"01/03/2026 02:05:00","EST","LONGIL",61762,2223.7012
"01/03/2026 02:05:00","EST","MHK VL",61756,969.8029
"01/03/2026 02:05:00","EST","MILLWD",61759,348.2164
"01/03/2026 02:05:00","EST","N.Y.C.",61761,5323.6426
"01/03/2026 02:05:00","EST","NORTH",61755,744.4777
"01/03/2026 02:05:00","EST","WEST",61752,1630.5486
"01/03/2026 02:10:00","EST","CAPITL",61757,1444.5684
"01/03/2026 02:10:00","EST","CENTRL",61754,1836.459
"01/03/2026 02:10:00","EST","DUNWOD",61760,636.0708
"01/03/2026 02:10:00","EST","GENESE",61753,1084.0859
"01/03/2026 02:10:00","EST","HUD VL",61758,1227.5994
"01/03/2026 02:10:00","EST","LONGIL",61762,2226.0435
"01/03/2026 02:10:00","EST","MHK VL",61756,975.7362
"01/03/2026 02:10:00","EST","MILLWD",61759,344.3965
"01/03/2026 02:10:00","EST","N.Y.C.",61761,5359.6606
"01/03/2026 02:10:00","EST","NORTH",61755,742.2125
"01/03/2026 02:10:00","EST","WEST",61752,1645.5466
"01/03/2026 02:15:00","EST","CAPITL",61757,1446.6172
"01/03/2026 02:15:00","EST","CENTRL",61754,1830.1667
"01/03/2026 02:15:00","EST","DUNWOD",61760,612.6261
"01/03/2026 02:15:00","EST","GENESE",61753,1080.5305
"01/03/2026 02:15:00","EST","HUD VL",61758,1201.7887
"01/03/2026 02:15:00","EST","LONGIL",61762,2219.0034
"01/03/2026 02:15:00","EST","MHK VL",61756,959.5651
"01/03/2026 02:15:00","EST","MILLWD",61759,354.5144
"01/03/2026 02:15:00","EST","N.Y.C.",61761,5355.3726
"01/03/2026 02:15:00","EST","NORTH",61755,753.1476
"01/03/2026 02:15:00","EST","WEST",61752,1659.4165
"01/03/2026 02:20:00","EST","CAPITL",61757,1449.8392
"01/03/2026 02:20:00","EST","CENTRL",61754,1818.6606
"01/03/2026 02:20:00","EST","DUNWOD",61760,632.3627
