"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/03/31 01:15:00","MHK VL","61756","704.7288"
"2025/03/31 01:15:00","MILLWD","61759","223.8236"
"2025/03/31 01:15:00","N.Y.C.","61761","4266.403"
"2025/03/31 01:15:00","NORTH","61755","625.0637"
"2025/03/31 01:15:00","WEST","61752","1470.5435"
"2025/03/31 01:20:00","CAPITL","61757","1076.5203"
"2025/03/31 01:20:00","CENTRL","61754","1319.2665"
"2025/03/31 01:20:00","DUNWOD","61760","498.6912"
"2025/03/31 01:20:00","GENESE","61753","847.4482"
"2025/03/31 01:20:00","HUD VL","61758","892.7576"
"2025/03/31 01:20:00","LONGIL","61762","1644.5759"
"2025/03/31 01:20:00","MHK VL","61756","691.3746"
"2025/03/31 01:20:00","MILLWD","61759","211.7793"
"2025/03/31 01:20:00","N.Y.C.","61761","4249.8306"
"2025/03/31 01:20:00","NORTH","61755","632.051"
"2025/03/31 01:20:00","WEST","61752","1448.7865"
"2025/03/31 01:25:00","CAPITL","61757","1083.0216"
"2025/03/31 01:25:00","CENTRL","61754","1335.4646"
"2025/03/31 01:25:00","DUNWOD","61760","505.989"
"2025/03/31 01:25:00","GENESE","61753","838.2961"
"2025/03/31 01:25:00","HUD VL","61758","869.3182"
"2025/03/31 01:25:00","LONGIL","61762","1631.6407"
"2025/03/31 01:25:00","MHK VL","61756","680.757"
"2025/03/31 01:25:00","MILLWD","61759","222.3416"
"2025/03/31 01:25:00","N.Y.C.","61761","4221.8525"
"2025/03/31 01:25:00","NORTH","61755","636.9757"
"2025/03/31 01:25:00","WEST","61752","1481.69"
"2025/03/31 01:30:00","CAPITL","61757","1077.4258"
"2025/03/31 01:30:00","CENTRL","61754","1348.5598"
"2025/03/31 01:30:00","DUNWOD","61760","490.9215"
"2025/03/31 01:30:00","GENESE","61753","844.9771"
"2025/03/31 01:30:00","HUD VL","61758","844.6935"
"2025/03/31 01:30:00","LONGIL","61762","1627.946"
"2025/03/31 01:30:00","MHK VL","61756","699.6059"
"2025/03/31 01:30:00","MILLWD","61759","213.8671"
"2025/03/31 01:30:00","N.Y.C.","61761","4240.4263"
"2025/03/31 01:30:00","NORTH","61755","615.4354"
"2025/03/31 01:30:00","WEST","61752","1484.5951"
